hashtag;timestamp;cnt;followers_count;log_followers_count
facebook;2018-06-08 06:00:00;737;8741097;4915.23387108271
facebook;2018-06-08 07:00:00;760;11537467;5083.32377098377
facebook;2018-06-08 08:00:00;968;14646366;6429.633596210361
facebook;2018-06-08 09:00:00;842;13074684;5394.767325142239
facebook;2018-06-08 10:00:00;892;6623555;5716.570644741434
facebook;2018-06-08 11:00:00;826;11478828;5398.006125578071
facebook;2018-06-08 12:00:00;882;13881298;5733.808977739312
facebook;2018-06-08 13:00:00;945;8407493;6121.879238265565
facebook;2018-06-08 14:00:00;871;4834945;5664.699271598688
facebook;2018-06-08 15:00:00;866;12595221;5590.270018835617
facebook;2018-06-08 16:00:00;1025;6299515;6411.99749650883
facebook;2018-06-08 17:00:00;880;11833280;5760.283030853929
facebook;2018-06-08 18:00:00;736;4248860;4714.020474502337
facebook;2018-06-08 19:00:00;767;26894825;4901.760465158936
facebook;2018-06-08 20:00:00;630;6972802;4125.410837146171
facebook;2018-06-08 21:00:00;688;6657428;4408.985609160652
facebook;2018-06-08 22:00:00;679;8680165;4233.907930217289
facebook;2018-06-08 23:00:00;500;7372926;3224.1292862754212
facebook;2018-06-09 00:00:00;458;6242032;3021.5608648969146
facebook;2018-06-09 01:00:00;464;4697052;2966.709177698216
facebook;2018-06-09 02:00:00;386;3001646;2477.3683750131786
facebook;2018-06-09 03:00:00;488;5538619;3159.51329335579
facebook;2018-06-09 04:00:00;367;4742425;2295.132425488313
facebook;2018-06-09 05:00:00;172;5668320;1117.5829837503916
goldmansachs;2018-06-05 20:00:00;5;38315;44.72079415485201
goldmansachs;2018-06-05 21:00:00;4;24092;33.35988772352532
goldmansachs;2018-06-05 22:00:00;0;0;0.0
goldmansachs;2018-06-05 23:00:00;0;0;0.0
goldmansachs;2018-06-06 00:00:00;0;0;0.0
goldmansachs;2018-06-06 01:00:00;0;0;0.0
goldmansachs;2018-06-06 02:00:00;0;0;0.0
goldmansachs;2018-06-06 03:00:00;0;0;0.0
goldmansachs;2018-06-06 04:00:00;2;333;8.404248432400102
goldmansachs;2018-06-06 05:00:00;1;187;5.231108616854587
goldmansachs;2018-06-06 06:00:00;1;3975;8.287780027088433
goldmansachs;2018-06-06 07:00:00;2;2756;11.711735339268987
goldmansachs;2018-06-06 08:00:00;5;7928;29.909874600924354
goldmansachs;2018-06-06 09:00:00;4;141827;26.45146093076108
goldmansachs;2018-06-06 10:00:00;0;0;0.0
goldmansachs;2018-06-06 11:00:00;0;0;0.0
goldmansachs;2018-06-06 12:00:00;6;77901;40.60510526033106
goldmansachs;2018-06-06 13:00:00;4;23506;31.877950965365965
goldmansachs;2018-06-06 14:00:00;13;69703;78.17680358618448
goldmansachs;2018-06-06 15:00:00;10;25569;63.56280275231959
goldmansachs;2018-06-06 16:00:00;8;1904;38.61357533135929
goldmansachs;2018-06-06 17:00:00;6;10401;37.53198952359908
goldmansachs;2018-06-06 18:00:00;2;797;11.923656682750895
goldmansachs;2018-06-06 19:00:00;5;4803;16.769600500614107
goldmansachs;2018-06-06 20:00:00;6;2940;33.69369894092735
goldmansachs;2018-06-06 21:00:00;2;1827;11.894179844363336
goldmansachs;2018-06-06 22:00:00;2;53218;16.33306637552252
goldmansachs;2018-06-06 23:00:00;4;23905;29.51911027749046
goldmansachs;2018-06-07 00:00:00;3;3125;18.582184736075405
goldmansachs;2018-06-07 01:00:00;3;1479;16.376266520035713
goldmansachs;2018-06-07 02:00:00;4;6226;25.897776369137958
goldmansachs;2018-06-07 03:00:00;5;58450;32.66656438822234
goldmansachs;2018-06-07 04:00:00;1;1499;7.312553498102599
goldmansachs;2018-06-07 05:00:00;1;26;3.258096538021482
goldmansachs;2018-06-07 06:00:00;4;8973;23.877801520998368
goldmansachs;2018-06-07 07:00:00;4;11188;30.865552001838584
goldmansachs;2018-06-07 08:00:00;2;286;8.946374826141717
goldmansachs;2018-06-07 09:00:00;2;2179;10.568698114403048
goldmansachs;2018-06-07 10:00:00;3;6183;19.187061806188805
goldmansachs;2018-06-07 11:00:00;7;53799;44.51375527608696
goldmansachs;2018-06-07 12:00:00;1;54;3.9889840465642745
goldmansachs;2018-06-07 13:00:00;4;1399;17.692746447306504
goldmansachs;2018-06-07 14:00:00;5;6839;26.15985613610546
goldmansachs;2018-06-07 15:00:00;5;97838;40.98607556859386
goldmansachs;2018-06-07 16:00:00;6;40386;40.78104830440692
